severity_label,id,incident_no,product_type,brand,mode,incident_type,status,service_type,is_failure_type,count_detail,open_datetime,close_datetime,response_datetime,resolved_datetime,open_to_close,open_to_close_hour,open_to_response,open_to_response_hour,response_to_resolved,response_to_resolved_hour,resolved_to_close,resolved_to_close_hour
Minor,2124,SR-ES-23-2124,Software,Red Hat,"Red Hat Enterprise Linux Server, Premium",Software,Closed,Incident,false,2,2023-01-10 12:06:00,2023-01-10 13:18:00,2023-01-10 12:20:00,2023-01-10 13:18:00,0 days 01:12:00,1.2,0 days 00:14:00,0.23333333333333334,0 days 00:58:00,0.9666666666666667,0 days 00:00:00,0.0
Major,2157,SR-ES-23-2157,Hardware,Oracle,ZFS Storage ZS3-2,Hard Disk Drive Failure,Closed,Incident,false,1,2023-01-10 10:00:00,2023-01-10 11:59:00,2023-01-10 10:02:00,2023-01-10 10:10:00,0 days 01:59:00,1.9833333333333334,0 days 00:02:00,0.03333333333333333,0 days 00:08:00,0.13333333333333333,0 days 01:49:00,1.8166666666666667
Minor,2122,SR-ES-23-2122,Software,VMWare,vRealize Automation Advanced Per OSI,Software,Closed,Incident,false,2,2023-01-10 09:20:00,2023-01-10 11:41:00,2023-01-10 09:55:00,2023-01-10 11:41:00,0 days 02:21:00,2.35,0 days 00:35:00,0.5833333333333334,0 days 01:46:00,1.7666666666666666,0 days 00:00:00,0.0
Minor,2144,SR-ES-23-2144,Server,Oracle,SPARC T5-2,CPU Failure,Closed,Incident,false,3,2023-01-10 09:00:00,2023-01-10 12:00:00,2023-01-10 09:00:00,2023-01-10 12:00:00,0 days 03:00:00,3.0,0 days 00:00:00,0.0,0 days 03:00:00,3.0,0 days 00:00:00,0.0
Major,2105,SR-ES-23-2105,Server,HPE,3PAR StoreServ 8200,Hard Disk Drive Failure,Closed,Incident,false,2,2023-01-10 06:25:00,2023-01-10 15:00:00,2023-01-10 07:00:00,2023-01-10 15:00:00,0 days 08:35:00,8.583333333333334,0 days 00:35:00,0.5833333333333334,0 days 08:00:00,8.0,0 days 00:00:00,0.0
Minor,2123,SR-ES-23-2123,Software,VMWare,vRealize Automation Advanced Per OSI,Software,Closed,Incident,false,2,2023-01-10 00:05:00,2023-01-10 20:04:00,2023-01-10 00:35:00,2023-01-10 20:04:00,0 days 19:59:00,19.983333333333334,0 days 00:30:00,0.5,0 days 19:29:00,19.483333333333334,0 days 00:00:00,0.0
Minor,2102,SR-ES-23-2102,Software,VMWare,vRealize Automation Advanced Per OSI,Software,Closed,Incident,false,2,2023-01-09 14:52:00,2023-01-09 15:42:00,2023-01-09 15:12:00,2023-01-09 15:42:00,0 days 00:50:00,0.8333333333333334,0 days 00:20:00,0.3333333333333333,0 days 00:30:00,0.5,0 days 00:00:00,0.0
Major,2100,SR-ES-23-2100,Server,HPE,3PAR StoreServ RPS Service Processor,General Incident,Closed,Incident,false,3,2023-01-09 14:29:00,2023-01-10 23:00:00,2023-01-09 14:45:00,2023-01-10 23:00:00,1 days 08:31:00,32.516666666666666,0 days 00:16:00,0.26666666666666666,1 days 08:15:00,32.25,0 days 00:00:00,0.0
Minor,2172,SR-ES-23-2172,Storage,NetApp,FAS8020A,Hard Disk Drive Failure,Closed,Incident,false,2,2023-01-09 13:52:00,2023-01-10 23:16:00,2023-01-09 13:53:00,2023-01-10 23:00:00,1 days 09:24:00,33.4,0 days 00:01:00,0.016666666666666666,1 days 09:07:00,33.11666666666667,0 days 00:16:00,0.26666666666666666
Major,2095,SR-ES-23-2095,Server,HPE,3PAR StoreServ 7400,General Incident,Closed,Incident,false,2,2023-01-09 12:17:00,2023-01-10 02:00:00,2023-01-09 13:34:00,2023-01-10 02:00:00,0 days 13:43:00,13.716666666666667,0 days 01:17:00,1.2833333333333334,0 days 12:26:00,12.433333333333334,0 days 00:00:00,0.0
