severity_id,severity_name,sla,product_type,brand,service_type,incident_type,open_to_close_hour,response_to_resolved_hour,label_multi_severity,label_binary_severity
2,Major,24x7 4Hrs Resolution Time,Software,HPE,Incident,General Incident,171.53333333333333,171.41666666666666,2,1
4,Cosmetic,24x7 4Hrs Response Time,Security,Trend Micro,Request,OS / Firmware,16.666666666666668,16.666666666666668,0,0
1,Critical,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,14.75,7.25,3,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,8.583333333333334,8.483333333333333,2,1
2,Major,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,6.35,6.15,2,1
4,Cosmetic,24x7 6Hrs Resolution Time,Storage,NetApp,Request,General Incident,27.433333333333334,27.433333333333334,0,0
4,Cosmetic,24x7 6Hrs Resolution Time,Software,VMWare,Request,General Incident,5.816666666666666,5.816666666666666,0,0
1,Critical,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,48.0,47.75,3,1
4,Cosmetic,24x7 4Hrs Response Time,Software,NetApp,Request,General Incident,2232.8,2232.8,0,0
4,Cosmetic,24x7 4Hrs Resolution Time,Access Point,Cisco,Request,General Incident,10.0,0.5,0,0
3,Minor,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Backup Failure,500.2,500.2,1,0
4,Cosmetic,24x7 4Hrs Resolution Time,Storage,Oracle,Incident,Memory Failure,2.25,2.0,0,0
4,Cosmetic,24x7 4Hrs Response Time,Software,VMWare,Request,General Incident,9.216666666666667,8.0,0,0
2,Major,24x7 4Hrs Resolution Time,Switch,Cisco,Request,General Incident,5.133333333333334,4.133333333333334,2,1
2,Major,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,5.266666666666667,5.15,2,1
4,Cosmetic,24x7 4Hrs Response Time,Software,VMWare,Request,General Incident,19.083333333333332,18.4,0,0
4,Cosmetic,24x7 4Hrs Resolution Time,Access Point,Cisco,Request,General Incident,27.5,22.0,0,0
4,Cosmetic,24x7 4Hrs Response Time,Storage,NetApp,Request,OS / Firmware,294.9166666666667,294.9166666666667,0,0
3,Minor,24x7 4Hrs Response Time,Software,VMWare,Incident,Software,0.7666666666666667,0.6166666666666667,1,0
2,Major,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,147.83333333333334,5.116666666666666,2,1
2,Major,24x7 4Hrs Response Time,Server,HPE,Incident,Other Failure,7.333333333333333,6.5,2,1
3,Minor,24x7 6Hrs Resolution Time,Software,CIMCO-CMMS,Incident,Software,5.433333333333334,3.8333333333333335,1,0
1,Critical,24x7 6Hrs Resolution Time,Storage,YIP,Incident,Controller/Node Failure,23.183333333333334,1.3333333333333333,3,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,148.08333333333334,148.05,2,1
2,Major,24x7 4Hrs Resolution Time,Software,VMWare,Incident,Software,9.716666666666667,9.55,2,1
